river_name,country,mouth_lat,mouth_lon,u_ms,v_ms,current_speed_ms
Limay,Argentina,-4993466.110877202,-7922854.932456597,,,
Di’er Songhua,China,5390186.210853919,14101820.466954824,,,
Di’er Songhua,China,5389998.901773524,14101918.306351025,,,
Ogooué,Gabon,-86824.17783848789,1111428.3632790337,,,
Ogooué,Gabon,-106117.5596474595,993939.5550028322,,,
Chico,Argentina,-5684897.390115614,-7630173.814231274,,,
Chico,Argentina,-5684897.390115614,-7630173.814231274,,,
Pongola,South Africa,-3148437.599625001,3550113.362343377,,,
Pongola,South Africa,-3148437.599625001,3550113.362343377,,,
Lufira,Democratic Republic of the Congo,-1214226.17718177,3004887.020424838,,,
Lufira,Democratic Republic of the Congo,-917558.3263633018,2944574.468186453,,,
Lokoro,Democratic Republic of the Congo,-299838.8631686097,2023824.2170669911,,,
Lokoro,Democratic Republic of the Congo,-191842.69773651703,2049588.5914009812,,,
Awash,Ethiopia,1290838.3292198093,4633304.188773239,,,
Awash,Ethiopia,1269380.5808681303,4630369.006887088,,,
Beas,India,3725842.1481774086,8482566.940535491,,,
Beas,India,3633548.0777355847,8349260.763206144,,,
Tungabhadra,India,1709379.451256475,8495829.614243284,,,
Tungabhadra,India,1789453.1140761706,8709293.43467461,,,
Mahaweli,Sri Lanka,887446.8656789736,9032723.30091836,,,
Mahaweli,Sri Lanka,887446.8656789736,9032723.30091836,,,
Ngun,Laos,2107696.808265632,11441491.186832014,,,
Ngun,Laos,2088482.169740772,11417721.649076205,,,
Qumar,China,4169578.41011685,10274631.37008082,,,
Qumar,China,4095788.3224823694,10566899.388633275,,,
Yalu,North Korea,4904396.458866262,13910397.688279685,,,
Yalu,North Korea,4904396.458866262,13910397.688279685,,,
Corumbá,Brazil,-2032195.7113608187,-5416462.35345737,,,
Corumbá,Brazil,-2032298.0023835455,-5416524.861960501,,,
Lukuga,United Republic of Tanzania,-654941.85995947,3249398.5425852216,,,
Lukuga,Democratic Republic of the Congo,-654941.85995947,3249398.5425852216,,,
Tietê,Brazil,-2557035.6880638017,-5403172.502139521,,,
Tietê,Brazil,-2557035.6880638017,-5403172.502139521,,,
Tao’er,China,5705653.825325042,13785266.53605547,,,
Tao’er,China,5703384.1624597,13807845.694490789,,,
Oka,Russia,7580665.744527519,11332574.196767772,,,
Oka,Russia,7334821.220799081,11365720.009993237,,,
Mearim,Brazil,-427024.2241120657,-4968643.283743951,,,
Mearim,Brazil,-418165.9076686821,-4974826.190031907,,,
Oti,Ghana,971333.0455007352,20399.51410875037,,,
Oti,Ghana,971333.0455007352,20399.51410875037,,,
Luvua,Zambia,-941557.7134332984,3215709.177158622,,,
Luvua,Democratic Republic of the Congo,-941557.7134332984,3215665.692982532,,,
Bol’shoy Yenisey,Russia,6718549.368459821,10515767.433072131,,,
Bunga,Nigeria,1421394.2284677876,1194292.8963426792,,,
Niari,Republic of the Congo,-389399.5809802871,1413887.9856028478,,,
Lungwebungu,Angola,-1595571.496837759,2582171.9091210244,,,
Luangwa,Zambia,-1750151.578088971,3385471.400618365,,,
Great Ruaha,United Republic of Tanzania,-877208.7881692062,4209203.019356523,,,
Tekezé,Ethiopia,1549674.609074127,4209730.264991625,,,
Mun,Thailand,1714845.087587425,11744630.249407252,,,
Chi,Thailand,1699778.4288714344,11656938.972797489,,,
Shandian,China,5118646.20891824,12981450.669967052,,,
Da,Vietnam,2409010.5358583475,11726377.766493002,,,
Onon,Russia,6717026.314980978,12894297.510036416,,,
Tone,Japan,4238903.29439934,15680122.1223582,,,
Taymura,Russia,9250903.53398684,10914647.780356,,,
Alazeya,Russia,11314503.094696833,17105761.706549678,,,
Mana,Russia,7473367.737121019,10656873.584487824,,,
Popigay,Russia,12066164.488185078,11812612.323203707,,,
Contas,Brazil,-1594445.6767187184,-4340568.7153278,,,
Maicuru,Brazil,-242203.4920632211,-6047001.931105686,,,
Mira,Ecuador,198166.83827905916,-8784882.521526003,,,
Copiapó,Chile,-3143781.39496515,-7896182.825946705,,,
Dulce,Argentina,-3548790.11185392,-6963958.187861198,,,
Cả,Vietnam,2101608.2332149297,11772112.24869684,,,
Nakdong,South Korea,4157676.703988991,14355798.48311412,,,
Palyavaam,Russia,10656739.880750824,19004693.934360947,,,
Great Kei,South Africa,-3829593.6378956246,3157386.025976404,,,
Lukenie,Democratic Republic of the Congo,-301822.609690749,2020725.9695204988,,,
Kondoma,Russia,7090736.331386813,9708690.25377687,,,
Daling,China,4962096.828652885,13532558.246701917,,,
Bol’shoy Anyuy,Russia,10564482.780339273,17915263.12866201,,,
Aoukalé,Central African Republic,1046792.875492912,2316130.284273525,,,
Chico,Argentina,-5227289.27636836,-7840778.550084602,,,
Tambo,Peru,-1927829.424598598,-7998261.929320616,,,
Pisco,Peru,-1528176.0269570623,-8484923.239327429,,,
Ocoña,Peru,-1844433.103356262,-8139514.839830615,,,
Yapacani,Bolivia,-1776978.7038770516,-7198036.225520714,,,
Una,Brazil,-933969.4635985208,-3893442.674670833,,,
Piauí,Brazil,-693571.9869508999,-4769980.389749648,,,
Olifants,South Africa,-3699876.806518525,2024829.7886390984,,,
Alima,Republic of the Congo,-175865.2380628612,1850512.5977338112,,,
Ebola,Democratic Republic of the Congo,367586.89233154256,2322815.9763475354,,,
Lua,Democratic Republic of the Congo,303713.211531545,2050023.4331618925,,,
Chinko,Central African Republic,534014.099198947,2659111.723192254,,,
Baoulé,Mali,1513764.1135974205,-1100848.1196838615,,,
Oued Sebou,Morocco,4040640.591236647,-743095.6496991796,,,
Lucala,Angola,-1070062.9677518578,1585134.1065716995,,,
Ngounie,Gabon,-65474.426795696,1146106.9937117042,,,
Ribeira,Brazil,-2822149.053240259,-5293817.952553365,,,
Zuo,China,2596624.7169387625,12032778.142275073,,,
Duliu,China,2937397.9799066405,12184945.580983944,,,
Mogami,Japan,4682464.896863475,15564236.793075358,,,
Ituxi,Brazil,-808160.1298526772,-7218019.922195593,,,
Saint Paul,Liberia,709635.2444700572,-1197728.1462538757,,,
Lobaye,Central African Republic,406785.8479324763,2070390.3341385692,,,
Dja,Cameroon,182988.30989913945,1788830.2939485512,,,
Sankuru,Democratic Republic of the Congo,-473521.6429989945,2270216.429843314,,,
Kwilu,Democratic Republic of the Congo,-352956.87314304936,1931501.875703527,,,
Chambeshi,Zambia,-1325494.8939826738,3316059.78453291,,,
Inkisi,Democratic Republic of the Congo,-526979.6877084303,1654562.0292231906,,,
Shama,United Republic of Tanzania,-687776.3870924462,3598761.284345321,,,
Malagarasi,United Republic of Tanzania,-552790.4591673034,3446419.908932084,,,
Erdao,China,5217450.698208652,14179439.721277475,,,
Nanweng,China,6591374.048879288,14030767.323221924,,,
Chuna,Russia,7875169.183880711,10627831.590380965,,,
Severnaya Sos’va,Russia,9363712.587009516,7286697.74280951,,,
Amgun’,Russia,6940217.037552244,15552039.481681803,,,
Moma,Russia,9962983.965337254,15933352.221824853,,,
Adycha,Russia,10476960.688709944,15004823.738707095,,,
Chaor,China,5902680.704629073,13750087.837597756,,,
Bikin,Russia,5887156.753127873,14921181.925995816,,,
Maya,Russia,8462008.86993678,14978450.585907824,,,
Kukhtuy,Russia,8226970.554694296,15942320.833143648,,,
Jiparaná,Brazil,-890665.481619189,-7000577.299651934,,,
Ventuari,Venezuela,438046.9625676409,-7465004.606871158,,,
Nhamundá,Brazil,-267394.9060068116,-6408888.115580031,,,
Itiquira,Brazil,-1916117.086378552,-6299536.28375488,,,
Ivinheima,Brazil,-2616260.98207859,-5970790.476983982,,,
Verde,Brazil,-2154028.13790637,-5639427.4663646,,,
Bermejo,Argentina,-3089199.4594639065,-6496391.866680397,,,
Gongola,Nigeria,1051322.8586929515,1338578.828135035,,,
Molopo,South Africa,-3293521.156628227,2249697.334250316,,,
Auob,Namibia,-2953426.035350268,2226389.8158654715,,,
Onilahy,Madagascar,-2684312.971615964,4870184.238029628,,,
Wei,China,4088510.4022288457,12277811.474548548,,,
Vakh,Russia,8551222.129956476,8549994.591086788,,,
Za’gya,China,3732421.59006666,9907679.27909186,,,
Harirud,Afghanistan,4568723.457506064,6693921.454335328,,,
Yurungkax,China,4529660.513593199,8954044.119803486,,,
Zarafshon,Uzbekistan,4709704.957188896,7087496.732136077,,,
Dali,China,4546876.806572727,12238159.341475455,,,
Jing,China,4067909.5277326615,12141727.74547138,,,
Dam,China,4017612.2217414007,10344831.136857923,,,
Mytinge,Myanmar,2480458.6377337454,10685230.702821244,,,
Qin,China,4134917.355759578,12629370.167201256,,,
Ou,China,3243148.264879883,13421744.259455698,,,
Wainganga,India,2120758.720902957,8896308.004998501,,,
Toxkan,China,5009772.956030572,8910342.52283191,,,
Banas,India,2971254.222563313,8542602.281151297,,,
Tel,India,2357634.4903667085,9345428.882233648,,,
Zayü,China,3295255.1917963894,10807339.704807129,,,
Zhang,China,4391593.610460104,12877501.74702122,,,
Orhon,Mongolia,6457503.280671515,11817161.855127243,,,
Cagayan,Philippines,2060913.101375847,13541146.37147991,,,
Palar,India,1389143.4467680273,8922202.831860766,,,
Tyung,Russia,9259503.38256698,13525122.45259033,,,
Dulgalakh,Russia,10254995.876749134,14829560.766971825,,,
Oloy,Russia,9972334.530766971,17745158.46731555,,,
Bahr Aouk,Central African Republic,1046792.875492912,2316130.284273525,,,
Luan,China,4756396.175673236,13280869.057694549,,,
Udzha,Russia,11632576.339967793,12712827.172164142,,,
Santa,Peru,-1114691.9885083514,-8597982.097164348,,,
Maputo,South Africa,-3003631.4731458607,3637875.300739288,,,
Mongala,Democratic Republic of the Congo,203644.35068904932,2203087.733002644,,,
Bakoy,Mali,1513764.1135974205,-1100848.1196838615,,,
Liu,China,2711384.509054859,12192664.02224012,,,
Rong,China,2787010.891444893,12188679.784605771,,,
Komadugu Yobe,Niger,1528035.733247378,1482837.5823173337,,,
Komadugu Yobe,Nigeria,1421394.2284677876,1194292.8963426792,,,
Ugalla,United Republic of Tanzania,-687776.3870924462,3598761.284345321,,,
Nen,China,5883936.493344444,13744152.247561311,,,
Casiquiare,Venezuela,222546.76006245543,-7472646.950819172,,,
Ibicuí,Brazil,-3407587.926103878,-6320734.819599302,,,
Wuding,China,4546876.806572727,12238159.341475455,,,
Aksu,China,5009772.956030572,8910342.52283191,,,
Luhit,India,3209350.8710187688,10626499.887488171,,,
Kureyka,Russia,9967674.672974665,9708440.219764348,,,
Uda,Russia,7137166.958049065,14527546.85745294,,,
Tumnin,Russia,6567731.435907114,15453960.922508275,,,
Poronay,Russia,6496721.777197053,15929166.869876085,,,
Kouilou,Republic of the Congo,-492745.08091644105,1301443.3417532188,,,
Asahan,Indonesia,267188.2717356468,11037153.57544871,,,
Fimi,Democratic Republic of the Congo,-332831.4519129203,1888669.962253771,,,
Luapula,Zambia,-1325494.8939826738,3316059.78453291,,,
Malagarasi,United Republic of Tanzania,-573264.6542545886,3419117.281868871,,,
Di’er Songhua,China,5662255.066336149,13878708.59495328,,,
Kolidam,India,1209247.8347636005,8758392.505003493,,,
Jhelum,Pakistan,3914517.092304197,8192864.488372412,,,
Jhelum,Pakistan,3890835.48168113,8197897.781754961,,,
Guaporé,Brazil,-1662252.243016543,-6679161.294313396,,,
Kabalebo,Suriname,385941.7032221082,-6417851.291376813,,,
Katanga,Russia,7859080.023829658,11615754.02251719,,,
Kaduna,Nigeria,1166613.0952681198,677445.4148456112,,,
Ouémé,Benin,709635.2444700572,283353.7624537769,,,
Ouémé,Benin,704163.9860261583,284348.4629818639,,,
Komoé,Ivory Coast,577172.4140888812,-413789.9841611077,,,
Chulym,Russia,7897456.583556153,9464559.218157291,,,
Verkhnyaya Taymyra,Russia,12599212.245445924,11107641.424892422,,,
Vitim,Russia,8231036.247724816,12553990.34794729,,,
Fuchun,China,3418877.9339186368,13268788.670055171,,,
Fuchun,China,3507258.2942952663,13374917.23732757,,,
Mae Klong,Thailand,1683146.7103164275,11024988.877187222,,,
Mae Klong,Thailand,1492390.389836522,11132101.273943678,,,
Yom,Thailand,2028966.77924532,11200143.13848226,,,
Yom,Thailand,1759205.126272598,11147614.253764188,,,
Cunene,Angola,-1917699.4583324804,1640141.589326969,,,
Cunene,Angola,-1937602.188940976,1309797.7390847234,,,
Río Negro,Uruguay,-3798092.5969202714,-6172135.801090907,,,
Río Negro,Uruguay,-3860258.589809119,-6324697.315145605,,,
Paranapanema,Brazil,-2608336.078886813,-5623699.783424644,,,
Paranapanema,Brazil,-2640235.664538994,-5480212.873367963,,,
Tana,Kenya,-86975.36801801692,4201223.6730438,,,
Tana,Kenya,-87515.33335525233,4151379.9361993503,,,
Rusizi,United Republic of Tanzania,-603339.1949694259,3289458.339809168,,,
Rusizi,Democratic Republic of the Congo,-274031.1782569643,3214252.45725957,,,
Cauvery,India,1333497.5999817338,8646730.576323505,,,
Cauvery,India,1203309.3633520384,8781074.938357027,,,
Chambal,India,2826450.275294737,8405426.012149842,,,
Chambal,India,3042336.990119442,8821498.915555734,,,
Zeya,Russia,7256078.456794229,14387147.323898727,,,
Zeya,Russia,6449106.061559031,14202529.818781858,,,
Pangani,United Republic of Tanzania,-399256.1207125874,4156880.684474878,,,
Pangani,United Republic of Tanzania,-600448.2863903482,4339476.175403512,,,
Caroní,Venezuela,862294.19179931,-7012807.224177562,,,
Caroní,Venezuela,862294.19179931,-7012807.224177562,,,
Bandama,Ivory Coast,705704.2517940607,-580497.4442504485,,,
Bandama,Ivory Coast,688502.9112746657,-565522.5811090682,,,
Hudi,China,3834876.284313052,13278654.142505843,,,
Hudi,China,3786997.980805007,13315615.6921833,,,
Ping,Thailand,1935852.9551819556,11016036.57243446,,,
Ping,Thailand,1760333.0264107585,11149641.703474434,,,
Ile,Kazakhstan,5421584.800541077,8586504.992437301,,,
Ile,Kazakhstan,5421584.800541077,8586504.992437301,,,
Sanggan,China,4873333.50916897,12867321.014293885,,,
Sanggan,China,4881447.558017951,12865663.180080412,,,
Wujia,China,4971675.498128038,12118605.034834929,,,
Wujia,China,4984348.3031229405,12109810.3602205,,,
Trombetas,Brazil,-196742.04672252995,-6220221.146564673,,,
Trombetas,Brazil,-196742.04672252995,-6220221.146564673,,,
Nizhnyaya Taymyra,Russia,12599212.245445924,11107641.424892422,,,
Nizhnyaya Taymyra,Russia,13241189.532812543,11067820.79063698,,,
Gambia,Senegal,1506370.107602352,-1703231.6933131744,,,
Apure,Venezuela,886759.806413385,-7528461.608593132,,,
Jari,Brazil,-128058.0511031269,-5778405.610912835,,,
Napo,Peru,-381566.9640407135,-8089108.526457986,,,
Juruá,Brazil,-288731.508100724,-7318196.592865516,,,
Parnaíba,Brazil,-305892.8975365437,-4657921.667962823,,,
Bandama Blanc,Ivory Coast,898190.3540069127,-609457.9055271386,,,
Bomu,Democratic Republic of the Congo,457622.39491214784,2496018.885240488,,,
Mbam,Cameroon,487284.9641579484,1255687.1174613326,,,
Aïna,Gabon,130297.88276756188,1461530.3360326835,,,
Cuanza,Angola,-1036337.571212405,1463122.9439820235,,,
Cuando,Angola,-1677122.0505621685,2270906.741138758,,,
Marico,Botswana,-2704239.805107308,3001343.060073412,,,
Luwegu,United Republic of Tanzania,-1009422.2588167316,4149107.88799859,,,
Akobo,Ethiopia,878300.5653128022,3672347.3813355216,,,
Ghäghara,India,2948580.547068944,9430223.025611335,,,
Chindwin,Myanmar,2429368.503092526,10605736.19340466,,,
Krong,Vietnam,1477052.9382154054,11953191.228984298,,,
Wu,China,3447742.1302964543,11955985.087298157,,,
Xiang,China,3373622.9855099176,12578384.970734412,,,
Huai,China,3806330.3976960704,12971101.436057365,,,
Ingoda,Russia,6716527.446231374,12893982.249759754,,,
Olëkma,Russia,8453652.770884054,13431120.534925343,,,
Künes,China,5377439.225279691,9100640.148450684,,,
Sartang,Russia,10640649.369830197,14962502.764326412,,,
Omolon,Russia,10627365.588105738,17664239.851131987,,,
Sapt,China,2887553.038129976,9769209.355851691,,,
Min,China,2998329.3437203686,13257455.606661422,,,
Lúrio,Mozambique,-1508148.9113508137,4511439.785277868,,,
Beni,Bolivia,-1220386.6435743156,-7360631.71320844,,,
Ituri,Democratic Republic of the Congo,188919.1478246852,2987515.092076436,,,
Betsiboka,Madagascar,-1787549.783929326,5173475.495221184,,,
Courantyne,Guyana,385828.10820301465,-6417840.42033279,,,
Mazoe,Zimbabwe,-1839691.047749157,3762794.4676050567,,,
Sreng,Cambodia,1475643.66888082,11542428.830583531,,,
Tumbes,Ecuador,-541355.2176896085,-9038109.903231649,,,
Manas,Bhutan,3004148.172721618,10090965.081315942,,,
Ou,Laos,2264153.8800869687,11379547.977990212,,,
Fly,Papua New Guinea,-763829.8446458054,15697667.987410972,,,
Kotto,Central African Republic,468287.4808789197,2453241.327010846,,,
Gamka,South Africa,-3901489.795966132,2414540.410289747,,,
Atrek,Iran,4469935.881635634,6000680.412524619,,,
Buh,China,4413426.357687839,11114000.985645749,,,
Kotuy,Russia,11548685.6635674,11463048.467129188,,,
Esil,Kazakhstan,7011389.059240636,7459846.296482347,,,
Pur,Russia,10279020.543968488,8670462.065425234,,,
Katun,Russia,6711715.385508815,9548516.291145226,,,
Baoulé,Mali,1413117.0743078631,-725533.4780803787,,,
Vina,Cameroon,861784.6303935397,1725017.2655348289,,,
Lomami,Democratic Republic of the Congo,85888.75856831753,2703329.6947549144,,,
Gêba,Guinea,1310766.184451153,-1661486.8842656966,,,
Mania,Madagascar,-2225772.3830709965,5053828.784706463,,,
Kabompo,Zambia,-1581558.026816706,2580649.962957835,,,
Save,Zimbabwe,-2370962.6177403326,3908031.6157494057,,,
Sokoto,Nigeria,1267535.021238961,458893.945811627,,,
Mariga,Nigeria,1166613.0952681198,677445.4148456112,,,
Jamanxim,Brazil,-813892.6852774002,-6471695.572421646,,,
Atrato,Colombia,902772.12248594,-8553690.746054534,,,
Iriri,Brazil,-426607.5343546975,-5856372.738644216,,,
Cuyuni,Venezuela,708809.3600229424,-6531986.382571987,,,
Gurupi,Brazil,-133847.1765653412,-5130110.900614313,,,
Amapari,Brazil,138231.01695575166,-5556571.086583974,,,
Doce,Brazil,-2215626.88243892,-4431293.013219917,,,
Litani,France,402170.8714536108,-6016910.881250629,,,
Putumayo,Colombia,-342277.3112047754,-7562126.514170677,,,
Huallaga,Peru,-830936.4577865669,-8540433.507868752,,,
Essequibo,Guyana,711020.801633287,-6523561.323454332,,,
Salado,Argentina,-4241835.165545143,-6385053.351560085,,,
Guainía,Colombia,452249.7475902323,-7539930.560037166,,,
Velhas,Brazil,-1930419.2202920488,-4991233.31322329,,,
Bhima,India,1840799.1040050704,8603289.88440847,,,
Tista,India,2910634.415853741,9985026.757313944,,,
Kong,Laos,1515050.3573000147,11803409.984438429,,,
Jialing,China,3429305.6514995336,11865190.12761989,,,
Dong,China,2628642.015398728,12673055.457606794,,,
Yalong,China,3055089.616591312,11331921.934126409,,,
Bajang,Malaysia,253451.92639210308,12431973.749835605,,,
Nadym,Russia,9460637.001203071,8184510.091040904,,,
Mahakam,Indonesia,-57251.15340565541,13073517.541795976,,,
Baliem,Indonesia,-628967.048885414,15402486.529060408,,,
Sittong,Myanmar,1961322.0393267476,10784972.531730255,,,
Pahang,Malaysia,387802.5157238687,11515778.466161683,,,
You,China,2596624.7169387625,12032778.142275073,,,
Mahi,India,2528819.0053840745,8116006.207131353,,,
Tapi,India,2394133.684179333,8096112.196569663,,,
Sankh,India,2527212.999096557,9425206.038794829,,,
Bei,China,2633719.937339493,12558991.02819777,,,
Ussuri,Russia,5681706.297408492,14851667.034992144,,,
Namhan,South Korea,4494238.449614225,14157958.538288455,,,
Bol’shaya Kuonamka,Russia,11273089.468617076,12528780.396858465,,,
Caledon,South Africa,-3548080.686540236,2900948.9685230325,,,
Shebele,Ethiopia,549607.718858237,5010301.124439247,,,
Tugela,South Africa,-3382456.9833434047,3504509.3326678127,,,
Penner,India,1628380.3549929324,8922159.347684674,,,
Deseado,Argentina,-6052734.328142117,-7389869.386107707,,,
Ivindo,Gabon,-13803.53904163552,1353135.1560815407,,,
Rufiji,United Republic of Tanzania,-867789.2957106158,4369572.660780581,,,
Shilka,Russia,7008846.677515041,13522844.968867555,,,
Suriname,Suriname,551125.2605189579,-6122808.43883754,,,
Corantijn,Guyana,607433.1272402919,-6372779.942858364,,,
Gourits,South Africa,-4050951.924293677,2435467.1700336,,,
Pyasina,Russia,12081984.123299928,9660580.448454056,,,
Logone,Chad,861784.6303935397,1725017.2655348289,,,
Mbini,Equatorial Guinea,176946.90839392127,1084756.2567691442,,,
Maroni,Suriname,592198.0261461893,-6030282.2653986495,,,
Yong,China,2583288.275697542,12122431.642330946,,,
Brahmani,India,2340811.13337257,9678131.749028835,,,
Sepik,Papua New Guinea,-431775.7022635667,16076328.192812469,,,
Aruwimi,Democratic Republic of the Congo,188919.1478246852,2987515.092076436,,,
Linyanti,Botswana,-2018788.6975141207,2716075.9938716246,,,
Sobat,South Sudan,936481.9676347948,3696671.3423364935,,,
Srepok,Cambodia,1511661.2525103912,11796561.226704078,,,
Yongding,China,4873333.50916897,12867321.014293885,,,
Song’acha,China,5600619.693904209,14787620.279131936,,,
Ussuri,Russia,6155705.017382043,15032958.000638047,,,
Ishim,Russia,7867577.094925158,7929692.8191469265,,,
Bani,Mali,1473771.2284274846,-617121.991563199,,,
Tsiribihina,Madagascar,-2216573.4854377424,4943889.916504081,,,
Igan,Malaysia,253451.92639210308,12447182.34042347,,,
Yu,China,2583288.275697542,12122431.642330946,,,
Podkamennaya Tunguska,Russia,8724714.651085384,10032114.68449862,,,
